Time;Accel_X;Accel_Y;Gyro_X;Gyro_Y
0.0000;2.4240;-0.1463;2.6300;81.2100
0.0000;0.9173;-0.0857;2.6300;81.2100
0.0000;0.5037;-0.0602;2.6300;81.2100
0.0000;0.3326;-0.0463;2.6300;81.2100
0.0000;0.2431;-0.0375;2.6300;81.2100
0.0000;0.1893;-0.0315;2.6300;81.2100
0.0000;0.1538;-0.0271;2.6300;81.2100
0.0000;0.1288;-0.0238;2.6300;81.2100
0.0000;0.1103;-0.0211;2.6300;81.2100
0.0000;0.0962;-0.0190;2.6300;81.2100
0.0000;0.0851;-0.0173;2.6300;81.2100
0.0000;0.0761;-0.0159;2.6300;81.2100
0.0000;0.0688;-0.0146;2.6300;81.2100
0.0000;0.0626;-0.0136;2.6300;81.2100
0.0000;0.0574;-0.0127;2.6300;81.2100
0.0000;0.0627;-0.0008;2.5600;81.1800
0.0000;0.0590;-0.0008;2.5600;81.1800
0.0000;0.0557;-0.0008;2.5600;81.1800
0.0000;0.0527;-0.0007;2.5600;81.1800
0.0000;0.0500;-0.0007;2.5600;81.1800
0.0000;0.0475;-0.0007;2.5600;81.1800
0.0000;0.0452;-0.0006;2.5600;81.1800
0.0000;0.0363;-0.0005;2.5600;81.1800
0.0000;0.0349;-0.0005;2.5600;81.1800
0.0000;0.0336;-0.0005;2.5600;81.1800
0.0000;0.0324;-0.0005;2.5600;81.1800
0.0000;0.0312;-0.0005;2.5600;81.1800
0.0000;0.0302;-0.0005;2.5600;81.1800
0.0000;-0.0061;-0.1518;3.4900;81.3500
0.0000;-0.0059;-0.1476;3.4900;81.3500
0.0010;-0.0052;-0.1320;3.4900;81.3500
0.0010;-0.0051;-0.1284;3.4900;81.3500
0.0010;-0.0050;-0.1248;3.4900;81.3500
0.0010;-0.0048;-0.1214;3.4900;81.3500
0.0010;-0.0047;-0.1181;3.4900;81.3500
0.0010;-0.0046;-0.1149;3.4900;81.3500
0.0010;-0.0044;-0.1087;3.4900;81.3500
0.0010;-0.0043;-0.1058;3.4900;81.3500
0.0010;-0.0042;-0.1030;3.4900;81.3500
0.0010;-0.0041;-0.1003;3.4900;81.3500
0.0010;-0.0040;-0.0976;3.4900;81.3500
0.0010;0.0238;-0.1829;4.0300;81.4400
0.0010;0.0233;-0.1781;4.0300;81.4400
0.0010;0.0229;-0.1734;4.0300;81.4400
0.0010;0.0224;-0.1688;4.0300;81.4400
0.0010;0.0220;-0.1643;4.0300;81.4400
0.0010;0.0216;-0.1598;4.0300;81.4400
0.0010;0.0211;-0.1555;4.0300;81.4400
0.0010;0.0208;-0.1513;4.0300;81.4400
0.0010;0.0204;-0.1472;4.0300;81.4400
0.0010;0.0200;-0.1431;4.0300;81.4400
0.0010;0.0196;-0.1392;4.0300;81.4400
0.0010;0.0193;-0.1354;4.0300;81.4400
0.0010;0.0190;-0.1317;4.0300;81.4400
0.0010;0.0186;-0.1281;4.0300;81.4400
0.0010;0.0183;-0.1246;4.0300;81.4400
0.0010;0.0180;-0.1212;4.0300;81.4400
0.0010;0.0177;-0.1179;4.0300;81.4400
0.0010;0.0174;-0.1148;4.0300;81.4400
0.0010;0.0213;-0.0878;3.9000;82.1100
0.0010;0.0209;-0.0855;3.9000;82.1100
0.0010;0.0194;-0.0750;3.9000;82.1100
0.0010;0.0191;-0.0731;3.9000;82.1100
0.0020;0.0188;-0.0713;3.9000;82.1100
0.0020;0.0185;-0.0695;3.9000;82.1100
0.0020;0.0183;-0.0678;3.9000;82.1100
0.0020;0.0180;-0.0662;3.9000;82.1100
0.0020;0.0178;-0.0646;3.9000;82.1100
0.0020;0.0175;-0.0631;3.9000;82.1100
0.0020;0.0173;-0.0616;3.9000;82.1100
0.0020;0.0170;-0.0602;3.9000;82.1100
0.0020;0.0166;-0.0575;3.9000;82.1100
0.0020;-0.0249;0.0195;3.4600;82.2500
0.0020;-0.0246;0.0191;3.4600;82.2500
0.0020;-0.0239;0.0183;3.4600;82.2500
0.0020;-0.0569;0.0954;2.9500;82.1200
0.0020;-0.0562;0.0938;2.9500;82.1200
0.0020;-0.0556;0.0923;2.9500;82.1200
0.0020;-0.0543;0.0893;2.9500;82.1200
0.0020;-0.0537;0.0878;2.9500;82.1200
0.0020;-0.0531;0.0863;2.9500;82.1200
0.0020;-0.0519;0.0835;2.9500;82.1200
0.0020;-0.0513;0.0821;2.9500;82.1200
0.0020;-0.0502;0.0794;2.9500;82.1200
0.0020;-0.0496;0.0781;2.9500;82.1200
0.0020;-0.0491;0.0768;2.9500;82.1200
0.0020;-0.0480;0.0743;2.9500;82.1200
0.0020;-0.0196;0.1125;2.7100;81.8500
0.0020;-0.0182;0.0999;2.7100;81.8500
0.0020;-0.0180;0.0982;2.7100;81.8500
0.0020;-0.0173;0.0916;2.7100;81.8500
0.0020;-0.0161;0.0811;2.7100;81.8500
0.0020;-0.0349;0.0462;2.9100;81.0900
0.0020;-0.0346;0.0454;2.9100;81.0900
0.0020;-0.0339;0.0439;2.9100;81.0900
0.0020;-0.0314;0.0385;2.9100;81.0900
0.0029;-0.0308;0.0374;2.9100;81.0900
0.0029;-0.0306;0.0368;2.9100;81.0900
0.0029;-0.0300;0.0357;2.9100;81.0900
0.0029;-0.0297;0.0351;2.9100;81.0900
0.0029;0.0050;-0.1066;3.7700;80.7600
0.0029;0.0050;-0.1034;3.7700;80.7600
0.0029;0.0049;-0.1018;3.7700;80.7600
0.0029;0.0046;-0.0896;3.7700;80.7600
0.0029;0.0046;-0.0882;3.7700;80.7600
0.0029;0.0045;-0.0854;3.7700;80.7600
0.0029;0.0270;-0.2678;4.8500;80.2300
0.0029;0.0268;-0.2633;4.8500;80.2300
0.0029;0.0260;-0.2446;4.8500;80.2300
0.0029;0.0256;-0.2349;4.8500;80.2300
0.0029;0.0254;-0.2301;4.8500;80.2300
0.0029;0.0250;-0.2203;4.8500;80.2300
0.0029;0.0248;-0.2154;4.8500;80.2300
0.0029;0.0246;-0.2105;4.8500;80.2300
0.0029;0.0242;-0.2008;4.8500;80.2300
0.0029;0.0240;-0.1960;4.8500;80.2300
