Time,Accel_X,Accel_Y,Gyro_X,Gyro_Y
0,0.5566,-0.8969,-17.28,-169.28
1.0866,0.3043,-0.4616,-17.28,-169.28
1.0894,0.2041,-0.2979,-17.28,-169.28
1.0938,0.1516,-0.2156,-17.28,-169.28
1.0948,0.1197,-0.1671,-17.28,-169.28
1.0967,0.0985,-0.1354,-17.28,-169.28
1.0995,0.0833,-0.1133,-17.28,-169.28
1.102,0.0721,-0.0971,-17.28,-169.28
1.1059,0.0634,-0.0847,-17.28,-169.28
1.1099,0.0565,-0.0749,-17.28,-169.28
1.1143,0.0508,-0.0671,-17.28,-169.28
1.1143,0.0462,-0.0607,-17.28,-169.28
1.1172,0.0423,-0.0553,-17.28,-169.28
1.1206,0.039,-0.0507,-17.28,-169.28
1.1236,0.0361,-0.0468,-17.28,-169.28
1.1255,0.0336,-0.0435,-17.28,-169.28
1.128,0.0315,-0.0405,-17.28,-169.28
1.1309,0.0295,-0.0379,-17.28,-169.28
1.133,0.0374,0.033,-16.88,-169.21
1.1359,0.0353,0.0311,-16.88,-169.21
1.1399,0.0335,0.0294,-16.88,-169.21
1.1409,0.0318,0.0278,-16.88,-169.21
1.1453,0.0303,0.0265,-16.88,-169.21
1.1473,0.0289,0.0252,-16.88,-169.21
1.1495,0.0276,0.024,-16.88,-169.21
1.1524,0.0234,0.0203,-16.88,-169.21
1.1559,0.0225,0.0195,-16.88,-169.21
1.1569,0.0217,0.0188,-16.88,-169.21
1.1598,0.0209,0.0181,-16.88,-169.21
1.1618,0.0202,0.0175,-16.88,-169.21
1.1653,0.0195,0.0169,-16.88,-169.21
1.1672,0.0189,0.0164,-16.88,-169.21
1.1702,0.0183,0.0159,-16.88,-169.21
1.1729,0.0178,0.0154,-16.88,-169.21
1.1768,0.08,0.0666,-16.6,-168.8
1.1788,0.0776,0.0646,-16.6,-168.8
1.1806,0.0754,0.0628,-16.6,-168.8
1.1851,0.0733,0.061,-16.6,-168.8
1.1861,0.0638,0.0531,-16.6,-168.8
1.1905,0.0621,0.0518,-16.6,-168.8
1.1939,0.0605,0.0504,-16.6,-168.8
1.1939,0.059,0.0492,-16.6,-168.8
1.1959,0.0575,0.048,-16.6,-168.8
1.1998,0.0561,0.0468,-16.6,-168.8
1.2008,0.0547,0.0457,-16.6,-168.8
1.2051,0.0534,0.0446,-16.6,-168.8
1.2071,0.0521,0.0435,-16.6,-168.8
1.21,0.0474,0.0537,-16.34,-168.93
1.212,0.0464,0.0525,-16.34,-168.93
1.2149,0.0454,0.0514,-16.34,-168.93
1.2168,0.0444,0.0503,-16.34,-168.93
1.2198,0.0434,0.0492,-16.34,-168.93
1.2218,0.0425,0.0482,-16.34,-168.93
1.2272,0.0416,0.0472,-16.34,-168.93
1.2272,0.0369,0.0418,-16.34,-168.93
1.2303,0.0348,0.0395,-16.34,-168.93
1.2335,-0.0076,-0.0167,-16.78,-169.09
1.2354,-0.0075,-0.0164,-16.78,-169.09
1.2393,-0.0069,-0.015,-16.78,-169.09
1.2413,-0.0066,-0.0143,-16.78,-169.09
1.2442,-0.0065,-0.0141,-16.78,-169.09
1.2461,-0.0063,-0.0137,-16.78,-169.09
1.2492,-0.0059,-0.0129,-16.78,-169.09
1.2521,-0.0058,-0.0127,-16.78,-169.09
1.2551,0.0472,-0.1207,-17.5,-168.69
1.257,0.0465,-0.1188,-17.5,-168.69
1.26,0.0429,-0.1083,-17.5,-168.69
1.2629,0.0418,-0.1049,-17.5,-168.69
1.2649,0.0413,-0.1032,-17.5,-168.69
1.2694,0.0402,-0.1,-17.5,-168.69
1.272,0.0672,-0.0475,-17.1,-168.59
1.2739,0.0655,-0.046,-17.1,-168.59
1.2758,0.0646,-0.0453,-17.1,-168.59
1.2799,0.063,-0.044,-17.1,-168.59
1.2839,0.0622,-0.0433,-17.1,-168.59
1.2839,0.0606,-0.0421,-17.1,-168.59
1.2867,0.0076,0.0296,-16.57,-168.99
1.2903,0.0075,0.0291,-16.57,-168.99
1.2942,0.0073,0.0284,-16.57,-168.99
1.2951,0.0072,0.028,-16.57,-168.99
1.2997,0.0071,0.0272,-16.57,-168.99
1.2997,-0.1451,0.0736,-16.54,-169.75
1.3036,-0.142,0.0718,-16.54,-169.75
1.3056,-0.1404,0.0709,-16.54,-169.75
1.3101,-0.1372,0.0691,-16.54,-169.75
1.3111,-0.1356,0.0683,-16.54,-169.75
1.314,-0.134,0.0674,-16.54,-169.75
1.3159,-0.1307,0.0657,-16.54,-169.75
1.3204,-0.1275,0.0641,-16.54,-169.75
1.3243,-0.1259,0.0633,-16.54,-169.75
1.3243,-0.1226,0.0617,-16.54,-169.75
1.3273,-0.121,0.0609,-16.54,-169.75
1.3308,-0.1178,0.0594,-16.54,-169.75
1.3318,-0.2053,0.0874,16.6,9.75
1.3347,-0.1987,0.0852,16.6,9.75
1.3367,-0.1954,0.084,16.6,9.75
1.3402,-0.1887,0.0819,16.6,9.75
1.3432,-0.1854,0.0808,16.6,9.75
1.3461,-0.162,0.0736,16.6,9.75
1.3461,-0.1588,0.0726,16.6,9.75
1.3501,-0.007,0.024,-16.69,-169.43
1.3501,-0.0069,0.0237,-16.69,-169.43
1.3547,-0.0066,0.0231,-16.69,-169.43
1.3565,-0.0065,0.0228,-16.69,-169.43
1.36,-0.0052,0.0192,-16.69,-169.43
1.364,0.1489,-0.0637,-16.89,-168.64
1.3664,0.1467,-0.063,-16.89,-168.64
1.368,0.1421,-0.0615,-16.89,-168.64
1.371,0.1399,-0.0608,-16.89,-168.64
1.3735,0.1266,-0.0567,-16.89,-168.64
1.3764,0.1223,-0.0554,-16.89,-168.64
1.3799,0.1202,-0.0548,-16.89,-168.64
1.3809,0.1161,-0.0536,-16.89,-168.64
1.3859,0.114,-0.0529,-16.89,-168.64
1.389,0.267,-0.1831,-17.69,-167.61
1.389,0.2417,-0.172,-17.69,-167.61
1.3935,0.2365,-0.1698,-17.69,-167.61
1.3955,0.2261,-0.1652,-17.69,-167.61
1.3964,0.2157,-0.1605,-17.69,-167.61
1.4009,0.1805,-0.1442,-17.69,-167.61
1.4028,0.1758,-0.1419,-17.69,-167.61
1.4058,0.3721,-0.235,-17.95,-166.54
1.4093,0.3616,-0.231,-17.95,-166.54
1.4117,0.2971,-0.2062,-17.95,-166.54
1.4127,0.2762,-0.1979,-17.95,-166.54
1.4172,0.266,-0.1937,-17.95,-166.54
1.4203,0.2463,-0.1855,-17.95,-166.54
1.4234,0.1941,-0.1615,-17.95,-166.54
1.4265,0.2503,-0.2471,-18.45,-166.12
1.4265,0.2039,-0.2174,-18.45,-166.12
1.43,0.1878,-0.2058,-18.45,-166.12
1.432,0.1802,-0.2001,-18.45,-166.12
1.4353,0.1473,-0.1733,-18.45,-166.12
1.4389,0.1416,-0.1682,-18.45,-166.12
1.4399,0.1311,-0.1586,-18.45,-166.12
1.4437,0.1262,-0.1539,-18.45,-166.12
1.4467,0.0808,0.0084,-17.56,-166.32
1.4496,0.0755,0.008,-17.56,-166.32
1.4514,0.0731,0.0078,-17.56,-166.32
1.4533,0.0686,0.0074,-17.56,-166.32
1.4563,0.0665,0.0072,-17.56,-166.32
1.4598,0.0557,0.0063,-17.56,-166.32
1.4608,0.0528,0.0061,-17.56,-166.32
1.4638,0.0514,0.006,-17.56,-166.32
1.4657,0.1656,0.0858,-17.41,-165.31
1.4695,0.1407,0.0764,-17.41,-165.31
1.4721,0.1369,0.075,-17.41,-165.31
1.4741,0.1296,0.0722,-17.41,-165.31
