Time;Accel_X;Accel_Y;Gyro_X;Gyro_Y
0.1;87.0;0.0;0.0;0.0
0.1;0.0;0.0;0.0;0.0
0.1;0.0;0.0;-15.2;89.0
0.1;0.0;0.0;-15.5;89.3
0.1;0.0;0.0;-15.9;89.7
0.1;0.0;0.0;-16.3;90.0
0.1;0.0;0.0;-16.6;90.3
0.1;0.0;0.0;-16.9;90.6
0.1;0.0;0.0;0.0;0.0
0.1;-17.0;90.0;0.0;0.0
0.1;0.0;0.0;-17.9;91.2
0.1;0.0;0.0;-18.3;91.4
0.1;0.0;0.0;-18.8;91.9
0.1;0.0;0.0;-19.2;92.1
0.1;0.0;0.0;-19.6;92.4
0.1;0.0;0.0;-20.0;92.8
0.1;0.0;0.0;-20.6;93.2
0.1;0.0;0.0;-21.1;93.7
0.1;0.0;0.0;-21.5;94.1
0.1;0.0;0.0;-21.9;94.4
0.1;0.0;0.0;-22.6;95.0
0.1;0.0;0.0;-23.1;95.5
0.1;0.0;0.0;-23.6;95.9
0.1;0.0;0.0;-24.1;96.4
0.1;0.0;0.0;-24.6;97.0
0.1;0.0;0.0;-25.3;97.8
0.1;0.0;0.0;-25.8;98.3
0.1;0.0;0.0;-26.3;98.9
0.1;0.0;0.0;-26.8;99.5
0.1;0.0;0.0;-27.3;100.2
0.1;0.0;0.0;-28.6;101.9
0.1;0.0;0.0;-29.1;102.6
0.1;0.0;0.0;-29.6;103.3
0.1;1.0;1.0;-30.5;104.3
0.1;1.0;1.0;-31.1;105.0
0.1;1.0;1.0;-31.8;105.6
0.1;1.0;1.0;-32.5;106.1
0.1;1.0;1.0;-33.5;106.8
0.2;1.0;1.0;-34.3;107.2
0.2;1.0;1.0;-35.0;107.5
0.2;1.0;1.0;-35.9;107.7
0.2;1.0;1.0;-37.2;107.7
0.2;1.0;1.0;-38.1;107.4
0.2;1.0;1.0;-39.1;107.1
0.2;0.0;0.0;-40.0;106.6
0.2;0.0;0.0;-41.4;105.4
0.2;0.0;0.0;-42.2;104.5
0.2;0.0;0.0;-43.0;103.4
0.2;0.0;0.0;-43.8;102.1
0.2;0.0;0.0;-44.6;99.9
0.2;0.0;0.0;-45.0;98.2
0.2;0.0;0.0;-45.3;96.4
0.2;0.0;0.0;-45.5;94.4
0.2;0.0;0.0;-45.4;92.3
0.2;0.0;0.0;-45.0;89.2
0.2;0.0;0.0;-44.6;87.0
0.2;0.0;0.0;-43.9;85.1
0.2;0.0;0.0;-43.1;83.2
0.2;0.0;0.0;-42.2;81.6
0.2;0.0;0.0;-40.7;79.4
0.2;0.0;0.0;-39.5;78.0
0.2;-1.0;-1.0;-38.3;76.9
0.2;-1.0;-1.0;-37.0;75.9
0.2;-1.0;-1.0;-35.8;75.0
0.2;-1.0;-1.0;-33.9;73.7
0.2;-1.0;-1.0;-32.6;72.9
0.2;-1.0;-1.0;-31.4;72.2
0.2;-1.0;-1.0;-30.1;71.6
0.2;-1.0;-1.0;-28.8;70.9
0.2;-1.0;-1.0;-27.5;70.3
0.2;-1.0;-1.0;-25.6;69.4
0.2;-1.0;-1.0;-24.3;68.8
0.2;-1.0;-1.0;-23.2;68.4
0.2;-1.0;-1.0;-22.1;68.0
0.2;-1.0;-1.0;-21.0;67.6
0.2;-1.0;-1.0;-20.0;67.3
0.2;-1.0;-1.0;-18.7;67.0
0.2;0.0;0.0;-18.1;66.6
0.2;0.0;0.0;-17.6;66.2
0.2;0.0;0.0;-17.0;66.0
0.2;0.0;0.0;-16.5;65.9
0.2;0.0;0.0;-15.9;65.9
0.2;0.0;0.0;-15.0;66.2
0.3;0.0;0.0;-14.4;66.5
0.3;0.0;0.0;-13.8;66.9
0.3;0.0;0.0;-13.3;67.5
0.3;0.0;0.0;-13.0;67.7
0.3;0.0;0.0;-12.8;68.0
0.3;0.0;0.0;-12.7;68.4
0.3;1.0;1.0;-12.6;69.0
0.3;1.0;1.0;-12.6;69.4
0.3;1.0;1.0;-12.7;69.9
0.3;1.0;1.0;-12.9;70.5
0.3;1.0;1.0;-13.2;71.1
0.3;1.0;1.0;-13.7;71.7
0.3;1.0;1.0;-14.3;72.3
0.3;1.0;1.0;-15.1;72.9
0.3;1.0;1.0;-16.0;73.5
0.3;1.0;1.0;-17.0;74.0
0.3;1.0;1.0;-18.2;74.3
0.3;1.0;1.0;-20.0;74.8
0.3;0.0;0.0;-21.1;75.0
0.3;0.0;0.0;-22.3;75.2
0.3;0.0;0.0;-23.3;75.4
0.3;0.0;0.0;-24.3;75.5
0.3;0.0;0.0;-25.5;75.7
0.3;0.0;0.0;-26.2;75.7
